seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff_ms,red_norm,ir_norm,red_corrected_norm,ir_corrected_norm,red_dc,ir_dc,red_ac,ir_ac,red_ac_dc_ratio,ir_ac_dc_ratio,red_ir_ratio,corrected_red_ir_ratio,ratio_of_ratios,red_corrected_roll_mean,red_corrected_roll_std,red_corrected_roll_min,red_corrected_roll_max,red_corrected_roll_range,red_corrected_roll_median,red_corrected_roll_rms,ir_corrected_roll_mean,ir_corrected_roll_std,ir_corrected_roll_min,ir_corrected_roll_max,ir_corrected_roll_range,ir_corrected_roll_median,ir_corrected_roll_rms,red_diff_1,ir_diff_1,red_diff_2,ir_diff_2,red_abs_diff,ir_abs_diff,red_outlier_flag,ir_outlier_flag,red_corrected_outlier_flag,ir_corrected_outlier_flag,signal_quality_score
18,135439,40553,100771,-56.57222288850344,-176.1500100642008,30.0,0.3938384679433805,0.8370709382151029,0.260997680251065,0.3041495638389601,0.0,0.0,0.0,0.0,0.0,0.0,0.4024272856278096,0.3211593508730698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,12.0,-5.0,-17.0,9.0,12.0,0,0,0,0,100
19,135459,40543,100725,-67.05595439709367,-221.08594965957155,20.0,0.3855120732722731,0.8160183066361556,0.24544718909282334,0.27710249494817984,0.0,0.0,0.0,0.0,0.0,0.0,0.40251178952593697,0.30330264994381834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-46.0,-19.0,-34.0,10.0,46.0,0,0,0,0,100
20,135479,40533,100716,-77.63519911360451,-228.5885708903238,20.0,0.3771856786011657,0.8118993135011442,0.2297550234464428,0.27258664605046384,0.0,0.0,0.0,0.0,0.0,0.0,0.4024484689622304,0.33962852478242966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-9.0,-20.0,-55.0,10.0,9.0,0,0,0,0,100
21,135499,40551,100699,-57.82981089377272,-244.5222136956769,20.0,0.39217318900915904,0.8041189931350115,0.25913230329624437,0.2629961414673157,0.0,0.0,0.0,0.0,0.0,0.0,0.40269516082582746,0.2365012569604229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-17.0,8.0,-26.0,18.0,17.0,0,0,0,0,100
22,135519,40549,100700,-59.18389270573591,-242.83031338591823,20.0,0.39050791007493757,0.8045766590389016,0.25712379733372376,0.26401450103977453,0.0,0.0,0.0,0.0,0.0,0.0,0.4026713008937438,0.24372530711055776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,16.0,-16.0,2.0,1.0,0,0,0,0,100
23,135534,40547,100694,-61.76331121553145,-247.33882467086707,15.0,0.38884263114071604,0.8018306636155607,0.2532977526952175,0.26130081537042144,0.0,0.0,0.0,0.0,0.0,0.0,0.40267543249846066,0.24971134757238245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-6.0,-4.0,-5.0,2.0,6.0,0,0,0,0,100
24,135555,40535,100736,-73.45895470161709,-202.9894699805872,21.0,0.37885095753538717,0.8210526315789474,0.2359496357130822,0.28799481715097447,0.0,0.0,0.0,0.0,0.0,0.0,0.4023884212198221,0.36188554366215303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,42.0,-14.0,36.0,12.0,42.0,0,0,0,0,100
25,135575,40541,100723,-66.31687141542189,-215.67101986430148,20.0,0.38384679433805163,0.8151029748283752,0.24654346892050463,0.2803617564775971,0.0,0.0,0.0,0.0,0.0,0.0,0.4024999255383577,0.3074908787334893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-13.0,-6.0,29.0,6.0,13.0,0,0,0,0,100
26,135598,40540,100720,-66.70269270065776,-218.3370178133182,23.0,0.38301415487094087,0.8137299771167048,0.24597118123078213,0.2787570847863176,0.0,0.0,0.0,0.0,0.0,0.0,0.4025019857029388,0.3055033606701072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,5.0,-16.0,1.0,3.0,0,0,0,0,100
27,135613,40528,100714,-79.44016926905209,-222.8035093096001,15.0,0.373022481265612,0.8109839816933638,0.2270777159991681,0.27606869094637965,0.0,0.0,0.0,0.0,0.0,0.0,0.4024068153384832,0.3565481060653527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-6.0,-13.0,-9.0,12.0,6.0,0,0,0,0,100
28,135633,40534,100721,-74.10642994820039,-213.56818430337887,20.0,0.37801831806827646,0.814187643020595,0.23498923739603983,0.2816274591377483,0.0,0.0,0.0,0.0,0.0,0.0,0.4024384189990171,0.34699189951875214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,-6.0,1.0,6.0,7.0,0,0,0,0,100
29,135653,40539,100719,-66.60809665936492,-214.6678572184792,20.0,0.38218151540383016,0.8132723112128146,0.2461114952880931,0.28096556290591546,0.0,0.0,0.0,0.0,0.0,0.0,0.40249605337622496,0.3102844437095872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.0,11.0,5.0,5.0,2.0,0,0,0,0,100
30,135681,40541,100718,-62.58130159239299,-215.44231963817123,28.0,0.38384679433805163,0.8128146453089244,0.25208442973740525,0.28049941178929594,0.0,0.0,0.0,0.0,0.0,0.0,0.4025199070672571,0.29047822033060344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,7.0,-3.0,2.0,1.0,0,0,0,0,100
31,135691,40538,100704,-65.92413925662798,-228.3501849651626,10.0,0.3813488759367194,0.8064073226544622,0.24712600749065755,0.2727301312117509,0.0,0.0,0.0,0.0,0.0,0.0,0.4025460756275818,0.28869755138006764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-14.0,-1.0,-15.0,3.0,14.0,0,0,0,0,100
32,135711,40529,100716,-76.13414642931086,-214.60244044379863,20.0,0.37385512073272276,0.8118993135011442,0.23198153091432647,0.28100493744725874,0.0,0.0,0.0,0.0,0.0,0.0,0.40240875332618453,0.3547683161098502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,12.0,-12.0,-2.0,9.0,12.0,0,0,0,0,100
33,135733,40543,100705,-61.324915196105934,-224.8006624684936,22.0,0.3855120732722731,0.8068649885583524,0.25394802434880753,0.2748665988223374,0.0,0.0,0.0,0.0,0.0,0.0,0.4025917283153766,0.27279686155151245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-11.0,5.0,1.0,14.0,11.0,0,0,0,0,100
34,135757,40535,100704,-67.82392587353853,-224.11627814386844,24.0,0.37885095753538717,0.8064073226544622,0.24430805903741776,0.2752785316792574,0.0,0.0,0.0,0.0,0.0,0.0,0.40251628535112804,0.30262828936504055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-1.0,6.0,-12.0,8.0,1.0,0,0,0,0,100
35,135777,40532,100689,-71.86464164001993,-237.39484932736016,20.0,0.37635303913405493,0.7995423340961099,0.23831447605142178,0.26728612220023035,0.0,0.0,0.0,0.0,0.0,0.0,0.40254645492556285,0.30272199183614473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-15.0,-11.0,-16.0,3.0,15.0,0,0,0,0,100
36,135800,40547,100709,-55.62668172832119,-216.1355563432336,23.0,0.38884263114071604,0.808695652173913,0.26240019894768746,0.2800821506596016,0.0,0.0,0.0,0.0,0.0,0.0,0.4026154564140246,0.25736941514603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,12.0,5.0,15.0,20.0,0,0,0,0,100
37,135811,40523,100680,-79.11256307761568,-243.95685965705871,11.0,0.3688592839300583,0.7954233409610983,0.22756365339456427,0.2633364296590811,0.0,0.0,0.0,0.0,0.0,0.0,0.40249304727850616,0.3242891517329245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-29.0,-9.0,-9.0,24.0,29.0,0,0,0,0,100
38,135831,40526,100713,-75.48536795430768,-210.996527275254,20.0,0.3713572023313905,0.8105263157894737,0.2329438623066297,0.2831753467624307,0.0,0.0,0.0,0.0,0.0,0.0,0.40239095250861356,0.357756447127842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,-21.0,4.0,3.0,33.0,0,0,0,0,100
39,135851,40526,100697,-74.53015523722394,-225.60715685726356,20.0,0.3713572023313905,0.8032036613272311,0.23436072679796843,0.2743811675731077,0.0,0.0,0.0,0.0,0.0,0.0,0.4024548894207375,0.3303536832582729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,3.0,17.0,0.0,16.0,0,0,0,0,100
40,135877,40526,100704,-74.09287261364999,-216.6826172186526,26.0,0.3713572023313905,0.8064073226544622,0.235009346954443,0.27975287317440506,0.0,0.0,0.0,0.0,0.0,0.0,0.40242691452176677,0.3419419313127619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-9.0,0.0,7.0,0,0,0,0,100
41,135890,40531,100718,-68.3924216227574,-201.7211074925286,13.0,0.3755203996669442,0.8128146453089244,0.24346481079947097,0.28875824811295964,0.0,0.0,0.0,0.0,0.0,0.0,0.4024206199487678,0.33904444841148085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,5.0,21.0,5.0,14.0,0,0,0,0,100
42,135910,40523,100705,-75.73076439079539,-214.0698731775392,20.0,0.3688592839300583,0.8068649885583524,0.2325798664228416,0.2813254911881886,0.0,0.0,0.0,0.0,0.0,0.0,0.4023931284444665,0.3537665682082595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-13.0,-3.0,1.0,8.0,13.0,0,0,0,0,100
43,135935,40525,100708,-74.05998940961864,-209.80209293694676,25.0,0.37052456286427976,0.8082379862700229,0.23505812252382163,0.283894280162391,0.0,0.0,0.0,0.0,0.0,0.0,0.4024010009135322,0.35299928791404567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-6.0,-10.0,2.0,3.0,0,0,0,0,100
44,135960,40536,100701,-62.507957358232446,-216.11904909222932,25.0,0.37968359700249793,0.8050343249427918,0.2521932210455275,0.2800920864205789,0.0,0.0,0.0,0.0,0.0,0.0,0.40253820716775407,0.289229281827707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-7.0,13.0,-4.0,11.0,7.0,0,0,0,0,100
45,135974,40524,100718,-73.61725833829624,-198.53169861756163,14.0,0.36969192339716905,0.8128146453089244,0.23571482434839972,0.2906779623180897,0.0,0.0,0.0,0.0,0.0,0.0,0.40235111896582537,0.3708085854849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,17.0,-1.0,10.0,12.0,17.0,0,0,0,0,100
46,135994,40536,100720,-60.96853625943246,-195.9671340502984,20.0,0.37968359700249793,0.8137299771167048,0.2544766402809481,0.2922215809705584,0.0,0.0,0.0,0.0,0.0,0.0,0.40246227164416204,0.31111612952294243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,19.0,12.0,2.0,0,0,0,0,100
47,136014,40537,100721,-59.35735286309001,-193.07498520828844,20.0,0.38051623646960864,0.814187643020595,0.2568665043420984,0.2939623735227251,0.0,0.0,0.0,0.0,0.0,0.0,0.4024682042473764,0.30743160642511796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,3.0,1.0,1.0,0,0,0,0,100
48,136035,40529,100707,-67.81714945692869,-205.62281368158952,21.0,0.37385512073272276,0.8077803203661327,0.2443181104782134,0.2864098001437536,0.0,0.0,0.0,0.0,0.0,0.0,0.40244471585887776,0.3298133521407052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-14.0,-7.0,-13.0,8.0,14.0,0,0,0,0,100
49,136055,40524,100737,-73.7201829609285,-175.22602196840882,20.0,0.36969192339716905,0.8215102974828375,0.23556215652846396,0.3047057148821158,0.0,0.0,0.0,0.0,0.0,0.0,0.40227523154352424,0.42071481240508546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,30.0,-13.0,16.0,5.0,30.0,0,0,0,0,100
50,136076,40530,100765,-67.14091245200328,-146.98199785886297,21.0,0.37468776019983346,0.8343249427917621,0.24532117103516793,0.32170587272286655,40553.5,100771.62,-23.5,-6.619999999995343,-0.0005794814257708953,-6.5693098910143e-05,0.4022229940951719,0.45679684199471987,8.821039582308751,-53.08624598421625,24.719202349936356,-79.44016926905209,8.087457181992205,87.5276264510443,-62.13563428688195,58.45483468642668,-164.74094584180588,79.31018468162658,-247.33882467086707,-4.396234730692758,242.94258994017432,-204.30614183108835,182.49351364692902,6.0,28.0,1.0,58.0,6.0,28.0,0,0,0,0,100
51,136096,40551,100817,-45.39857184079849,-94.6317824529126,20.0,0.39217318900915904,0.8581235697940504,0.27757152723295686,0.35321561515357325,40552.46,100768.96,-1.4599999999991269,48.0399999999936,-3.6002748045349824e-05,0.0004767341054228762,0.4022238312982929,0.479739160185302,-0.07551955615471312,-53.778456152465616,23.98422764745009,-79.44016926905209,8.087457181992205,87.5276264510443,-62.13563428688195,58.786568691075026,-166.54565679625028,76.56625564160191,-247.33882467086707,-7.542110206633485,239.7967144642336,-204.30614183108835,182.98251137912067,21.0,52.0,27.0,80.0,21.0,52.0,0,0,0,0,100
52,136116,40563,100849,-34.39302857445357,-62.25475653688668,20.0,0.4021648626144879,0.8727688787185355,0.2938960203883483,0.3727034384485722,40551.4,100767.18,11.599999999998545,81.82000000000698,0.0002860567082763738,0.0008119707230073024,0.4022151930113338,0.5524562376864375,0.35229928884246375,-54.50917249589173,22.771638055019807,-79.44016926905209,8.087457181992205,87.5276264510443,-62.13563428688195,58.98666320365587,-167.4886385544512,74.93606046955244,-247.33882467086707,-7.542110206633485,239.7967144642336,-204.30614183108835,183.18173746404437,12.0,32.0,33.0,84.0,12.0,32.0,0,0,0,0,100
53,136137,40579,100870,-19.428911988448668,-40.86193250068133,21.0,0.4154870940882598,0.8823798627002288,0.31609225485609443,0.38557983962513054,40550.92,100765.68,28.080000000001746,104.32000000000698,0.0006924627110803343,0.0010352731207689662,0.4022900763358779,0.47547707118660415,0.6688695931427218,-54.65672067266095,22.513356558733634,-79.44016926905209,8.087457181992205,87.5276264510443,-62.13563428688195,59.02602234404029,-168.15503500033216,73.62126901540307,-247.33882467086707,-14.245303360060204,233.09352131080686,-204.30614183108835,183.26976079640772,16.0,21.0,28.0,53.0,16.0,21.0,0,0,0,0,100
54,136159,40581,100914,-16.09115543295072,3.4863213293050324,22.0,0.41715237302248126,0.9025171624713959,0.3210431403077206,0.41227317879476527,40550.3,100765.18,30.69999999999709,148.82000000000698,0.0007570844112126689,0.0014768990637441127,0.40213449075450386,-4.615511283395771,0.512617571368331,-54.963160463249324,21.859686569766357,-79.44016926905209,8.087457181992205,87.5276264510443,-62.13563428688195,59.0697721944037,-167.80040250654483,74.41619486063907,-247.33882467086707,3.4863213293050324,250.8251460001721,-204.30614183108835,183.25935102401823,2.0,44.0,18.0,65.0,2.0,44.0,0,0,0,0,100
55,136169,40590,100897,-6.716630881312366,-13.635160589404425,10.0,0.42464612822647796,0.8947368421052632,0.33494834772680815,0.40196771049617225,40549.68,100764.46,40.31999999999971,132.5399999999936,0.0009943358369289155,0.001315344715785641,0.4022914457317859,0.4925963898460945,0.7559507595201077,-55.25924222451542,21.074412844499232,-79.44016926905209,-6.716630881312366,72.72353838773972,-62.13563428688195,59.06633652456578,-167.66206191372683,74.70140037893647,-247.33882467086707,3.4863213293050324,250.8251460001721,-204.30614183108835,183.24644673053024,9.0,-17.0,11.0,27.0,9.0,17.0,0,0,0,0,100
56,136193,40598,100916,0.9945161543845132,5.189811060579121,24.0,0.43130724396336384,0.9034324942791762,0.3463862716854913,0.4132985140727496,40549.52,100764.14,48.4800000000032,151.86000000000058,0.0011955751880664237,0.0015070837700793217,0.4022949780015062,0.19162858585328482,0.7933037378562556,-55.081242484425445,21.51550671610076,-79.44016926905209,0.9945161543845132,80.4346854234366,-62.13563428688195,59.05592233039494,-167.1435072565955,75.82367889869677,-247.33882467086707,5.189811060579121,252.5286357314462,-204.30614183108835,183.224446224115,8.0,19.0,17.0,2.0,8.0,19.0,0,0,0,0,100
57,136205,40579,100897,-17.367673013581175,-13.768027463513627,12.0,0.4154870940882598,0.8947368421052632,0.319149685163942,0.40188773754958,40549.16,100763.68,29.839999999996508,133.32000000000698,0.0007358968718463343,0.0013230957821310913,0.40218242365977186,1.261449620114929,0.5561931961275213,-55.09674905452808,21.48746215602303,-79.44016926905209,0.9945161543845132,80.4346854234366,-62.13563428688195,59.06038067677884,-166.76500559133888,76.55226963190357,-247.33882467086707,5.189811060579121,252.5286357314462,-204.30614183108835,183.17645065880885,-19.0,-19.0,-11.0,0.0,19.0,19.0,0,0,0,0,100
58,136236,40579,100919,-18.087815393538463,8.584934284349682,31.0,0.4154870940882598,0.9048054919908467,0.3180814998805794,0.4153420483251294,40548.76,100763.74,30.239999999997963,155.25999999999476,0.0007457687978620792,0.0015408320493065736,0.4020947492543525,-2.1069253175895026,0.4840039498125057,-55.13181886097755,21.424244624363133,-79.44016926905209,0.9945161543845132,80.4346854234366,-62.13563428688195,59.070599654055506,-165.8487571942229,78.38652347589702,-247.33882467086707,8.584934284349682,255.92375895521675,-204.30614183108835,183.10480164171807,0.0,22.0,-19.0,3.0,0.0,22.0,0,0,0,0,100
59,136256,40587,100912,-11.452889366868275,0.7798948504668086,20.0,0.4221482098251457,0.9016018306636155,0.3279230680692325,0.41064417305726175,40548.74,100763.88,38.26000000000204,148.11999999999534,0.0009435558293550438,0.0014699711841187073,0.4022019185032504,-14.685171161231684,0.6418872965327782,-54.85310587998927,21.90434526473262,-79.44016926905209,0.9945161543845132,80.4346854234366,-62.13563428688195,58.98362111068119,-164.88956339626583,80.14205354032453,-247.33882467086707,8.584934284349682,255.92375895521675,-204.30614183108835,182.98322843298564,8.0,-7.0,8.0,15.0,8.0,7.0,0,0,0,0,100
